"dates","prices","NAV"
2017-02-21,28682.11,5852028421.88
2017-02-20,28625.83,5905832331.4
2017-02-17,28598.95,5930931686.39
2017-02-16,28566.75,5917779187.04
2017-02-15,28546.72,5756409687.73
2017-02-14,28540.53,5729498092.35
2017-02-13,28562.39,5713931436.01
2017-02-10,28554.25,5699394003.32
2017-02-09,28557.69,5687244268.16
2017-02-08,28540,5654940764.71
2017-02-07,28538.84,5631801419.1
2017-02-06,28520.24,5623979866.74
2017-02-03,28500.54,5603625378.84
2017-02-02,28495.11,5602340226.12
2017-02-01,28501.26,5753128903.18
2017-01-31,28501.33,5748875169.19
2017-01-30,28510.69,5759603491.02
2017-01-27,28477.16,5743586839.07
2017-01-26,28485.44,5741054269.85
2017-01-25,28450.23,5736900217.49
2017-01-24,28451.32,5736469068.97
2017-01-23,28443.35,5561148663.09
2017-01-20,28412.26,5550412113.61
2017-01-19,28426.17,5539204602.04
2017-01-18,28400.49,5521983818.02
2017-01-17,28391.93,5592914521.92
2017-01-16,28376.22,5514068282.1
2017-01-13,28344.4,5506595346.82
2017-01-12,28329.99,5478384630.45
2017-01-11,28344.7,5495953146.35
2017-01-10,28312.46,5494972299.28
2017-01-09,28310.46,5493393112.15
2016-12-30,28232.65,5591534166.13
2016-12-29,28221.19,5568445539.86
2016-12-28,28187.77,5558954595.65
2016-12-27,28182.77,5554085548.59
2016-12-26,28174.71,5525469560.41
2016-12-23,28135.38,5496199529.14
2016-12-22,28111.3,5488415476.52
2016-12-21,28118.57,5493510922.81
2016-12-20,28145.72,5533956313.35
2016-12-19,28144.3,5534969651.2
2016-12-16,28100.1,5534287528.74
2016-12-15,28088.57,5536924864.24
2016-12-14,28075.21,5548832038.39
2016-12-13,28037.91,5539366364.96
2016-12-12,28012.31,5541491161.78
2016-12-09,28053.74,5576681711.21
2016-12-08,28066.89,5568251878.69
2016-12-07,28068.53,5574849227.87
2016-12-06,28079.91,5576925840.59
2016-12-05,28063.68,5584127759.55
2016-12-02,28043.89,5571206230.23
2016-12-01,28033.03,5576610905.7
2016-11-30,28021.26,5514332834.15
2016-11-29,28043.35,5645333461.27
2016-11-28,28033.82,5627418972.78
2016-11-25,28024.68,5734329488.19
2016-11-24,28003.34,5538045528.79
2016-11-23,28004.38,5696427037.07
2016-11-22,27984.8,5691447888.34
2016-11-21,27971.2,5697409128.82
2016-11-18,27973.24,5688488818.67
2016-11-17,27963.27,5671716151.59
2016-11-16,27965.52,5519353053.11
2016-11-15,27934.99,5515137383.05
2016-11-14,27969.76,5512917713.23
2016-11-11,27956.54,5509675927.2
2016-11-10,27950.81,5514517163.75
2016-11-09,27924.05,5506734175.34
2016-11-08,27912.77,5503720458.29
2016-11-07,27888.3,5467902613.54
2016-11-03,27854.32,5454011799.87
2016-11-02,27860.14,5446897834.67
2016-11-01,27851.07,5460825707.99
2016-10-31,27844.52,5469942323.65
2016-10-28,27813.79,5465606404.02
2016-10-27,27799.43,5464468690.18
2016-10-26,27796.53,5490557693.65
2016-10-25,27768.51,5479563465.89
2016-10-24,27756.33,5478372992.09
2016-10-21,27761.27,5445448371.19
2016-10-20,27780.39,5502911573.39
2016-10-19,27778.82,5507921410.51
2016-10-18,27778.71,5495192157
2016-10-17,27777.88,5505822179.21
2016-10-14,27750.91,5516477071.82
2016-10-13,27749.08,5511700484.72
2016-10-12,27757.77,5609645515.57
2016-10-11,27738.97,5555850333.66
2016-10-10,27709.31,5540300282.14
2016-10-07,27679.1,5532135388.75
2016-10-06,27672.62,5574165400.5
2016-10-05,27671.3,5530054356.19
2016-10-04,27664.03,5552315893.66
2016-10-03,27648.48,5551368972.5
2016-09-30,27643.6,5555531382.31
2016-09-29,27647.29,5574487729.21
2016-09-28,27628.06,5541461454.97
2016-09-27,27634.05,5489955465.52
2016-09-26,27653.11,5498358029.96
2016-09-23,27634.53,5614692100.74
2016-09-22,27611.5,5615417533.51
2016-09-21,27590.59,5608174213.26
2016-09-20,27606.41,5602721316.39
2016-09-19,27602.76,5619755156.98
2016-09-16,27591.49,5622766602.5
2016-09-15,27577.51,5612566351.24
2016-09-14,27562.67,5504204383.58
2016-09-13,27562.37,5487666757.01
2016-09-12,27541.22,5558570176.78
2016-09-09,27532.45,5537132628.3
2016-09-08,27496.9,5540432633.62
2016-09-07,27490.86,5516613715.84
2016-09-06,27499.99,5531767792.61
2016-09-05,27501,5455187735.21
2016-09-02,27490.31,5479477042.93
2016-09-01,27488.64,5492064149.41
2016-08-31,27469.97,5490639196.85
2016-08-30,27468.06,5502517208.93
2016-08-29,27448.84,5503930553.53
2016-08-26,27418.24,5498012701.42
2016-08-25,27404.59,5524112610.82
2016-08-24,27429.29,5530661472.47
2016-08-23,27409.44,5564716204.63
2016-08-22,27399.86,5563675572.72
2016-08-19,27346.92,5540538436.63
2016-08-18,27338.71,5489131578.06
2016-08-17,27302.21,5468604927.68
2016-08-16,27298.38,5457766210.68
2016-08-15,27301.09,5480432930.99
2016-08-12,27296.24,5471507560.2
2016-08-11,27280.1,5460390273.55
2016-08-10,27229.08,5438017238.06
2016-08-09,27269.26,5435504993.37
2016-08-08,27249.43,5423112184.9
2016-08-05,27249.95,5471692808
2016-08-04,27231.49,5456621185.45
2016-08-03,27229.85,5439740512.12
2016-08-02,27198.73,5419633761.7
2016-08-01,27209.48,5401534802.28
2016-07-29,27186.39,5352495147.93
2016-07-28,27187.62,5358086419.55
2016-07-27,27172.56,5324375489.4
2016-07-26,27166.66,5297966742.09
2016-07-25,27131.37,5281617700.36
2016-07-22,27095.58,5253498497.19
2016-07-21,27064.27,5121912946.09
2016-07-20,27066.46,5106395502.85
2016-07-19,27051.28,5094154164.93
2016-07-18,27025.86,5089641061.54
2016-07-15,27028.25,5067114128.35
2016-07-14,27007.32,5062629488.67
2016-07-13,27026.75,5069741486.89
2016-07-12,27008.99,5055908128.24
2016-07-11,27016.58,5051650990.21
2016-07-08,27005.42,5044765241.54
2016-07-07,26976.53,5034583104.9
2016-07-06,26953.45,5025825918.32
2016-07-05,26955.29,5020876044.04
2016-07-04,26906.63,4999467991.19
2016-07-01,26891.56,4980009657.45
2016-06-30,26892.61,5076071454.94
2016-06-29,26877.01,4982170935.76
2016-06-28,26859.53,4981419979.14
2016-06-27,26885.85,4981285593.9
2016-06-24,26882.27,4972814870.7
2016-06-23,26876.2,4974528881.71
2016-06-22,26893.31,5100267855.12
2016-06-21,26826.86,5082348769.28
2016-06-20,26818.27,5080471628.41
2016-06-17,26815.07,5172802706.68
2016-06-16,26803.48,5167618256.98
2016-06-15,26774.55,5148478329.56
2016-06-14,26790.39,4945986616.32
2016-06-10,26738.63,4910092129.89
2016-06-09,26700.65,5013978138.18
2016-06-08,26683.16,5106127446.07
2016-06-07,26698.1,4892975731.48
2016-06-06,26709.82,4912053108.45
2016-06-03,26686.08,4897418236.04
2016-06-02,26707.54,4889802872.17
2016-06-01,26704.91,4810218807.32
2016-05-31,26661.46,4797153162.92
2016-05-30,26629.39,4789875543.06
2016-05-27,26620.62,4817325148.2
2016-05-26,26513.08,4849975127.38
2016-05-25,26488.3,4821371638.91
2016-05-24,26483.34,4820174171.34
2016-05-23,26486.43,4792652586.84
2016-05-20,26492.22,4789410635.75
2016-05-19,26479.82,4825846053.68
2016-05-18,26471.61,4812790626.47
2016-05-17,26437.26,4814778200.11
2016-05-16,26431.95,4801161984.58
2016-05-13,26400.79,4797479061.47
2016-05-12,26376.22,4870919375.19
2016-05-11,26352.03,4864283961.41
2016-05-10,26332.76,4921832462.39
2016-05-06,26329.2,4952399439.91
2016-05-05,26280.92,4961941846.31
2016-05-04,26232.45,4940589197.23
2016-04-29,26206.14,4932458743.34
2016-04-28,26199.91,4927354225.59
2016-04-27,26157.53,4921448050.56
2016-04-26,26141.13,4928958895.04
2016-04-25,26146.94,4924328376.25
2016-04-22,26128.09,4784946042.31
2016-04-21,26134.95,4778214100.14
2016-04-20,26118.18,4772596560.99
2016-04-19,26100.22,4646025534.55
2016-04-18,26115.78,4684689121.98
2016-04-15,26109.25,4685315060.75
2016-04-14,26086.14,4699775095.5
2016-04-13,26070.11,4790296075.42
2016-04-12,26068.44,4772405597.31
2016-04-11,26054.98,4736787057.42
2016-04-08,26029.76,4736072496.48
2016-04-07,26001.83,4727699364.8
2016-04-06,25999.03,4741196998.84
2016-04-05,25981.11,4764479703.75
2016-04-04,25820.75,4727841355.27
2016-04-01,25946.46,4675027197.3
2016-03-31,25932.02,4644820727.9
2016-03-30,25926.67,4625247989.31
2016-03-29,25919.33,4647022281.08
2016-03-28,25920.64,4667011129.68
2016-03-25,25890.35,4694746742.94
2016-03-24,25862.66,4728760933.04
2016-03-23,25858.65,4706412745.44
2016-03-22,25853.96,4729579879.56
2016-03-21,25843.96,4719105021.45
2016-03-18,25824.45,4696022244.95
2016-03-17,25819.42,4681450238.91
2016-03-16,25819.45,4731421443.73
2016-03-15,25814.46,4693736143.52
2016-03-14,25814.54,4675350991.05
2016-03-11,25746.52,4553262102.84
2016-03-10,25742.51,4509828754.68
2016-03-09,25726.19,4536107299.89
2016-03-04,25699.46,4515255849.81
2016-03-03,25680.62,4490000419.81
2016-03-02,25673.51,4470545353.76
2016-03-01,25656.04,4491329042.48
2016-02-29,25615.96,4486700056.66
2016-02-26,25577.91,4437451938.54
2016-02-25,25459.35,4413909001.64
2016-02-24,25404.02,4404044752.92
2016-02-20,25464.48,4408196438.36
2016-02-19,25457.78,4408231807.48
2016-02-18,25437.92,4416874279.14
2016-02-17,25422.97,4419104232.74
2016-02-16,25414.14,4395163924.35
2016-02-15,25425.13,4434579977.41
2016-02-12,25421.12,4443563132.71
2016-02-11,25468.42,4529709886.25
2016-02-10,25315.58,4496940485.91
2016-02-09,25264.3,4413623441.57
2016-02-08,25383.39,4487894543
2016-02-05,25400.14,4521971392.38
2016-02-04,25429.49,4572034688.6
2016-02-03,25375.43,4509675829.84
2016-02-02,25311.31,4562103277.03
2016-02-01,25237.2,4556872751.57
2016-01-29,25256.35,4475557947.08
2016-01-28,25430.45,4506135570.79
2016-01-27,25341.33,4500205401.62
2016-01-26,25361.64,4368514182.35
2016-01-25,25291.29,4354913858.43
2016-01-22,25241.78,4360228986.65
2016-01-21,25275.4,4310422263.94
2016-01-20,25263.28,4287613471.23
2016-01-19,25289.32,4376084581.62
2016-01-18,25290.33,4286056301.53
2016-01-15,25092.86,4265048630.49
2016-01-14,25050.87,4256422942.01
2016-01-13,25045.62,4284371774.55
2016-01-12,25048.83,4284506505.34
2016-01-11,25048.98,4292703394.04
2015-12-31,24912.61,4274889440.69
2015-12-30,24907.72,4269348968.49
2015-12-29,24878.38,4269648028
2015-12-28,24919.14,4274203908.38
2015-12-25,25010.99,4301530015.16
2015-12-24,25002.67,4286843594.39
2015-12-23,24919.16,4280216256.16
2015-12-22,24877.22,4312878094.32
2015-12-21,24937.21,4334374968.54
2015-12-18,24914.59,4341108920.52
2015-12-17,24940.38,4329225197.73
2015-12-16,25123.84,4378283028.47
2015-12-15,25128.13,4410158663.1
2015-12-14,25124.36,4441963612.95
2015-12-11,25093.8,4435567887.09
2015-12-10,25102.52,4466393131
2015-12-09,25058.79,4456008598.04
2015-12-08,25087.19,4494587960.18
2015-12-07,25079.76,4508980000
2015-12-04,25070.7,4517217300.52
2015-12-03,25050.74,4541699959.07
2015-12-02,25035.13,4528390020.12
2015-12-01,25052.88,4583023717.97
2015-11-30,25086.42,4632519497.8
2015-11-27,25079.71,4665140735.15
2015-11-26,25073.75,4682767348.86
2015-11-25,25105.59,4704428057.58
2015-11-24,25104.37,4707695941.62
2015-11-23,25094.7,4702746209.27
2015-11-20,25107.56,3872277492.71
2015-11-19,25069.81,3861189187.24
2015-11-18,25069.67,4232223128.21
2015-11-17,25066.11,4228513752.25
2015-11-16,25031.08,4232130073.67
2015-11-13,25008.66,4235344433.78
2015-11-12,24985.84,4249151376.44
2015-11-11,24988.37,4250560040.27
2015-11-10,24965.8,4255631540.45
2015-11-09,24953.19,4251063952.33
2015-11-06,24939.96,4250324874.28
2015-11-05,24958.49,4253116826.43
2015-11-03,24948.97,4250621677.69
2015-11-02,24965.59,4212066644.94
2015-10-30,24940.46,4155535817.47
2015-10-29,24967.71,4180013994.52
2015-10-28,24976.2,4196777056.26
2015-10-27,24987.06,4212042496.39
2015-10-26,24991.88,4213840127.4
